vwdtc,vwtype,vwinvno,vwnar,vwamtdr,vwamtcr,vwbalc,vwbal,
11/02/22,Sal,   8878,SALE BILL NO. 8878,7416,0,Dr,2382416,
12/02/22,Sal,   8904,SALE BILL NO. 8904,254431,0,Dr,2636847,
12/02/22,Sal,   8910,SALE BILL NO. 8910,319548,0,Dr,2956395,
13/02/22,Sal,   8955,SALE BILL NO. 8955,227850,0,Dr,3184245,
13/02/22,Sal,   8965,SALE BILL NO. 8965 B.NO.D52713 A1 D.C. @ DELTA D.C,141819,0,Dr,3326064,
,,,.,0,0,,0,
14/02/22,Bnk,      0,SHEELA FOAM HOUSE,0,300000,Dr,3026064,
15/02/22,Sal,   9016,SALE BILL NO. 9016,89879,0,Dr,3115943,
15/02/22,Sal,   9031,SALE BILL NO. 9031TO WOOD INDIA MART (NOIDA),27871,0,Dr,3143814,
16/02/22,Cas,   2657,CASH SHEELA FOAM,0,1000000,Dr,2143814,
17/02/22,Cas,   2670,CASH SHEELA FOAM,0,350000,Dr,1793814,
